from	to	synthesis.pathway	leading.name	enzyme.id	hgnc.symbols	SetID	Level
Phosphatidylcholine	Lysophosphatidylcholine	Phospholipid Metabolism	phospholipase A2	PLA2G6	"PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3,LPCAT1,LPCAT2"	Phospholipid Metabolism	1
Phosphatidylcholine	Arachidonic acid	Phospholipid Metabolism	phospholipase A2	PLA2G6	PLA2G6	Phospholipid Metabolism	1
Phosphatidylethanolamine	Lysophosphatidylethanolamine	Phospholipid Metabolism	Phospholipase A2	PLA2G6	"PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3"	Phospholipid Metabolism	1
Phosphatidylglycerol	Cardiolipin	Phospholipid Metabolism	Cardiolipin synthase	CRLS1	CRLS1	Phospholipid Metabolism	1
Phosphatidylglycerol	Lysophosphatidylglycerol	Phospholipid Metabolism	Phospholipase A2	PLA2G6	"PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3"	Phospholipid Metabolism	1
Phosphatidylglycerol phosphate	Phosphatidylglycerol	Phospholipid Metabolism	Phosphatidylglycerophosphate phosphatase	PGPP1	PGPP1	Phospholipid Metabolism	1
Phosphatidylinositol	Glycophosphatidylinositol	Phospholipid Metabolism	Phosphatidylinositol glycan biosynthesis class A	PIGA	PIGA	Phospholipid Metabolism	1
Phosphatidylinositol	Lysophosphatidylinositol	Phospholipid Metabolism	Phospholipase A2	PLA2G6	"PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3"	Phospholipid Metabolism	1
Phosphatidylserine	Lysophosphatidylserine	Phospholipid Metabolism	Phospholipase A2	PLA2G6	"PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3"	Phospholipid Metabolism	1
3-ketodihydrosphingosine	Dihydrosphingosine	Sphingolipid Metabolism	3-ketodihydrosphingosine reductase	KDSR	KDSR	Sphingolipid Metabolism	1
Ceramide	Ceramide 1-phosphate	Sphingolipid Metabolism	Ceramide kinase	CERK	CERK	Sphingolipid Metabolism	1
Ceramide	Acylceramide	Sphingolipid Metabolism	LCFA ligase	ACSL1	"ACSL1,ACSL2,ACSL3,ACSL4,ACSL5,ACSL6"	Sphingolipid Metabolism	1
Ceramide	Sphingomyelin	Sphingolipid Metabolism	Sphingomyelin synthase/sphingomyelinase	SGMS1	"SGMS1,SGMS2,SMPD1,SMPD2,SMPD3,SMPD4"	Sphingolipid Metabolism	1
Ceramide	Glycosylceramide	Sphingolipid Metabolism	Glycosylceramide synthase/ceramidase	UGCG	"UGCG,UGT8,GBA1"	Sphingolipid Metabolism	1
Ceramide	Sphingosine	Sphingolipid Metabolism	Alkaline ceramidase/ceramide synthase	ACER2	"CERS5,CERS1,CERS2,CERS3,CERS4,CERS6,ACER2,ACER3"	Sphingolipid Metabolism	1
Dihydroceramide	Ceramide	Sphingolipid Metabolism	Sphingolipid desaturase	DEGS1	"DEGS1,DEGS2"	Sphingolipid Metabolism	1
Dihydrosphingosine	Dihydroceramide	Sphingolipid Metabolism	Ceramide synthase	CERS5	"LASS5,CERS5,CERS1,CERS2,CERS3,CERS4,CERS6"	Sphingolipid Metabolism	1
Glycosylceramide	Lactosylceramide	Sphingolipid Metabolism	Beta-4-galactosyltransferase	B4GALT6	B4GALT6	Sphingolipid Metabolism	1
Phosphatidylcholine	Sphingomyelin	Sphingolipid Metabolism	Sphingomyelin synthase	SGMS1	"SGMS1,SGMS2"	Sphingolipid Metabolism	1
Saturated FA/Palmitic acid	3-ketodihydrosphingosine	Sphingolipid Metabolism	Fatty acid desaturase	FADS	"FADS1,FADS2"	Sphingolipid Metabolism	1
Serine	3-ketodihydrosphingosine	Sphingolipid Metabolism	Serine palmitoyltransferase	SPT	"SPTLC1,SPTLC2,SPTSSA,SPTSSB"	Sphingolipid Metabolism	1
Sphingosine	Sphingosine 1-phosphate	Sphingolipid Metabolism	Sphingosine kinase/phosphatase	SPHK1	"SPHK1,SPHK2,SGPP1,SGPP2"	Sphingolipid Metabolism	1
Acetyl-CoA	HMG-CoA	Sterol Lipid Metabolism	HMG-CoA synthase	HMGCS1	HMGCS1	Sterol Lipid Metabolism	1
Cholesterol	Cholesterol Ester	Sterol Lipid Metabolism	Lecithin-cholesterol acyltransferase	LCAT	LCAT	Sterol Lipid Metabolism	1
HMG-CoA	Mevalonate	Sterol Lipid Metabolism	HMG-CoA reductase	HMGCR	HMGCR	Sterol Lipid Metabolism	1
Mevalonate	Cholesterol	Sterol Lipid Metabolism	Mevalonate pyrophosphate decarboxylase	MVD	"MVD,PTAR,FDFT1,SQLE,LSS,CYP51A1"	Sterol Lipid Metabolism	1
